EXIT|EXIT_R1|EXIT_STATION,EXIT|EXIT_R2|EXIT_STATION,EXIT|EXIT_R3|EXIT_STATION
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,1
0,1,1
0,1,1
0,1,1
1,1,1
1,1,1
1,1,1
1,1,1
2,1,1
2,1,1
2,1,1
3,1,1
3,1,1
3,1,1
3,1,1
4,1,1
4,1,1
4,1,1
4,1,1
5,1,1
5,1,1
5,1,1
5,2,1
5,2,1
5,2,1
5,2,1
5,2,1
5,2,1
5,2,1
5,2,1
5,2,1
5,2,1
5,2,1
5,2,1
5,2,1
5,2,1
5,2,1
5,2,1
5,3,1
5,3,1
5,3,1
5,3,1
5,3,1
5,3,1
5,3,1
5,3,1
5,3,1
5,3,1
5,3,1
5,3,1
5,3,1
5,3,1
5,4,1
5,4,1
5,4,1
5,4,1
5,4,1
5,4,1
5,4,1
5,4,1
5,4,1
5,4,1
5,4,1
5,4,1
5,4,1
5,4,1
5,4,1
5,4,1
5,4,1
5,4,1
5,4,1
5,4,1
5,4,1
5,4,1
5,4,1
5,4,1
5,4,1
5,4,1
5,4,1
5,4,1
5,4,1
5,4,1
5,5,1
5,5,1
5,5,1
5,5,1
5,5,1
5,5,1
5,5,1
5,5,1
5,5,1
5,5,1
5,5,1
5,5,2
5,5,2
5,5,2
5,5,2
5,5,2
5,5,2
5,5,2
5,5,2
5,5,2
6,5,2
6,5,2
6,5,2
6,5,2
6,5,2
6,5,2
6,5,2
6,5,2
6,5,2
6,5,2
6,5,3
6,5,3
6,5,3
6,5,3
6,5,3
7,5,3
7,5,3
7,5,3
7,5,3
7,5,3
7,5,3
7,5,4
7,5,4
7,5,4
7,5,4
7,6,4
7,6,4
7,6,4
7,6,4
7,6,4
7,7,4
7,7,4
7,7,4
7,7,4
7,7,4
