#date,diff
2016/8/13 19:00:00,1
2016/8/13 19:00:30,3
2016/8/13 19:01:00,3
2016/8/13 19:01:30,1
2016/8/13 19:02:00,1
2016/8/13 19:02:30,5
2016/8/13 19:03:00,0
2016/8/13 19:03:30,2
2016/8/13 19:04:00,4
2016/8/13 19:04:30,2
2016/8/13 19:05:00,3
2016/8/13 19:05:30,0
2016/8/13 19:06:00,0
2016/8/13 19:06:30,5
2016/8/13 19:07:00,1
2016/8/13 19:07:30,0
2016/8/13 19:08:00,0
2016/8/13 19:08:30,2
2016/8/13 19:09:00,0
2016/8/13 19:09:30,7
2016/8/13 19:10:00,1
2016/8/13 19:10:30,2
2016/8/13 19:11:00,3
2016/8/13 19:11:30,0
2016/8/13 19:12:00,3
2016/8/13 19:12:30,12
2016/8/13 19:13:00,1
2016/8/13 19:13:30,0
2016/8/13 19:14:00,0
2016/8/13 19:14:30,1
2016/8/13 19:15:00,3
2016/8/13 19:15:30,1
2016/8/13 19:16:00,0
2016/8/13 19:16:30,2
2016/8/13 19:17:00,2
2016/8/13 19:17:30,1
2016/8/13 19:18:00,1
2016/8/13 19:18:30,0
2016/8/13 19:19:00,1
2016/8/13 19:19:30,4
2016/8/13 19:20:00,1
2016/8/13 19:20:30,1
2016/8/13 19:21:00,1
2016/8/13 19:21:30,2
2016/8/13 19:22:00,3
2016/8/13 19:22:30,5
2016/8/13 19:23:00,3
2016/8/13 19:23:30,4
2016/8/13 19:24:00,2
2016/8/13 19:24:30,5
2016/8/13 19:25:00,3
2016/8/13 19:25:30,1
2016/8/13 19:26:00,1
2016/8/13 19:26:30,5
2016/8/13 19:27:00,4
2016/8/13 19:27:30,0
2016/8/13 19:28:00,1
2016/8/13 19:28:30,1
2016/8/13 19:29:00,6
2016/8/13 19:29:30,8
2016/8/13 19:30:00,4
2016/8/13 19:30:30,11
2016/8/13 19:31:00,3
2016/8/13 19:31:30,4
2016/8/13 19:32:00,5
2016/8/13 19:32:30,4
2016/8/13 19:33:00,3
2016/8/13 19:33:30,1
2016/8/13 19:34:00,4
2016/8/13 19:34:30,0
2016/8/13 19:35:00,5
2016/8/13 19:35:30,2
2016/8/13 19:36:00,3
2016/8/13 19:36:30,3
2016/8/13 19:37:00,5
2016/8/13 19:37:30,5
2016/8/13 19:38:00,5
2016/8/13 19:38:30,3
2016/8/13 19:39:00,2
2016/8/13 19:39:30,3
2016/8/13 19:40:00,4
2016/8/13 19:40:30,2
2016/8/13 19:41:00,2
2016/8/13 19:41:30,2
2016/8/13 19:42:00,3
2016/8/13 19:42:30,0
2016/8/13 19:43:00,7
2016/8/13 19:43:30,0
2016/8/13 19:44:00,8
2016/8/13 19:44:30,4
2016/8/13 19:45:00,4
2016/8/13 19:45:30,2
2016/8/13 19:46:00,7
2016/8/13 19:46:30,10
2016/8/13 19:47:00,3
2016/8/13 19:47:30,5
2016/8/13 19:48:00,11
2016/8/13 19:48:30,14
2016/8/13 19:49:00,7
2016/8/13 19:49:30,7
2016/8/13 19:50:00,6
2016/8/13 19:50:30,11
2016/8/13 19:51:00,7
2016/8/13 19:51:30,6
2016/8/13 19:52:00,3
2016/8/13 19:52:30,5
2016/8/13 19:53:00,9
2016/8/13 19:53:30,5
2016/8/13 19:54:00,6
2016/8/13 19:54:30,12
2016/8/13 19:55:00,10
2016/8/13 19:55:30,15
2016/8/13 19:56:00,14
2016/8/13 19:56:30,17
2016/8/13 19:57:00,19
2016/8/13 19:57:30,11
2016/8/13 19:58:00,3
2016/8/13 19:58:30,21
2016/8/13 19:59:00,0
2016/8/13 20:00:00,58
2016/8/13 20:00:30,22
2016/8/13 20:01:00,16
2016/8/13 20:01:30,21
2016/8/13 20:02:00,32
2016/8/13 20:02:30,36
2016/8/13 20:03:00,33
2016/8/13 20:03:30,24
2016/8/13 20:04:00,42
2016/8/13 20:04:30,20
2016/8/13 20:05:00,36
2016/8/13 20:05:30,35
2016/8/13 20:06:00,59
2016/8/13 20:06:30,42
2016/8/13 20:07:00,29
2016/8/13 20:07:30,29
2016/8/13 20:08:00,30
2016/8/13 20:08:30,34
2016/8/13 20:09:00,15
2016/8/13 20:09:30,20
2016/8/13 20:10:00,29
2016/8/13 20:10:30,15
2016/8/13 20:11:00,14
2016/8/13 20:11:30,36
2016/8/13 20:12:00,64
2016/8/13 20:12:30,63
2016/8/13 20:13:00,40
2016/8/13 20:13:30,55
2016/8/13 20:14:00,72
2016/8/13 20:14:30,105
2016/8/13 20:15:00,92
2016/8/13 20:15:30,107
2016/8/13 20:16:00,85
2016/8/13 20:16:30,76
2016/8/13 20:17:00,109
2016/8/13 20:17:30,81
2016/8/13 20:18:00,86
2016/8/13 20:18:30,65
2016/8/13 20:19:00,37
2016/8/13 20:19:30,37
2016/8/13 20:20:00,90
2016/8/13 20:20:30,85
2016/8/13 20:21:00,89
2016/8/13 20:21:30,74
2016/8/13 20:22:00,63
2016/8/13 20:22:30,61
2016/8/13 20:23:00,69
2016/8/13 20:23:30,110
2016/8/13 20:24:00,113
2016/8/13 20:24:30,129
2016/8/13 20:25:00,134
2016/8/13 20:25:30,133
2016/8/13 20:26:00,97
2016/8/13 20:26:30,89
2016/8/13 20:27:00,105
2016/8/13 20:27:30,116
2016/8/13 20:28:00,101
2016/8/13 20:28:30,148
2016/8/13 20:29:00,131
2016/8/13 20:29:30,132
2016/8/13 20:30:00,127
2016/8/13 20:30:30,115
2016/8/13 20:31:00,166
2016/8/13 20:31:30,153
2016/8/13 20:32:00,141
2016/8/13 20:32:30,144
2016/8/13 20:33:00,145
2016/8/13 20:33:30,153
2016/8/13 20:34:00,134
2016/8/13 20:34:30,121
2016/8/13 20:35:00,145
2016/8/13 20:35:30,146
2016/8/13 20:36:00,117
2016/8/13 20:36:30,142
2016/8/13 20:37:00,130
2016/8/13 20:37:30,111
2016/8/13 20:38:00,115
2016/8/13 20:38:30,130
2016/8/13 20:39:00,156
2016/8/13 20:39:30,177
2016/8/13 20:40:00,159
2016/8/13 20:40:30,167
2016/8/13 20:41:00,184
2016/8/13 20:41:30,161
2016/8/13 20:42:00,135
2016/8/13 20:42:30,150
2016/8/13 20:43:00,141
2016/8/13 20:43:30,165
2016/8/13 20:44:00,159
2016/8/13 20:44:30,157
2016/8/13 20:45:00,171
2016/8/13 20:45:30,177
2016/8/13 20:46:00,153
2016/8/13 20:46:30,155
2016/8/13 20:47:00,144
2016/8/13 20:47:30,165
2016/8/13 20:48:00,168
2016/8/13 20:48:30,181
2016/8/13 20:49:00,163
2016/8/13 20:49:30,187
2016/8/13 20:50:00,213
2016/8/13 20:50:30,170
2016/8/13 20:51:00,180
2016/8/13 20:51:30,178
2016/8/13 20:52:00,172
2016/8/13 20:52:30,177
2016/8/13 20:53:00,135
2016/8/13 20:53:30,165
2016/8/13 20:54:00,161
2016/8/13 20:54:30,157
2016/8/13 20:55:00,189
2016/8/13 20:55:30,206
2016/8/13 20:56:00,192
2016/8/13 20:56:30,192
2016/8/13 20:57:00,183
2016/8/13 20:57:30,170
2016/8/13 20:58:00,70
2016/8/13 20:58:30,23
2016/8/13 20:59:00,1
2016/8/13 21:00:00,11
2016/8/13 21:00:30,12
2016/8/13 21:01:00,9
2016/8/13 21:01:30,8
2016/8/13 21:02:00,4
2016/8/13 21:02:30,7
2016/8/13 21:03:00,18
2016/8/13 21:03:30,135
